gearbox	title	refcode	description	model	year	run	phone	wheel_drive	price
Manual	BMW Z3	TA1190789	1997 BMW Z3 Wide Body; The vendor has supplied the following information.; On-site now for viewin...		1997 	90		RHD	Auction
Manual	FORD GRANADA	TA1190787	1992 Ford Granada; ONE OWNER & LOW MILEAGE; Purchased new by it's current owner back on August 19...		1992 	61,515		RHD	Auction
Manual	BMW Z3	TA1190786	2001 BMW Z3 6 Cylinder.; Vendor has owned the car for the last 9 years during which time the car ...		2001 	94,780		RHD	Auction
Automatic	JAGUAR XJS	TA1190752	1992 Jaguar XJS Auto; More information to follow; On site now for viewing.; We are open 7 days a ...		1992 	115,000		RHD	Auction
Automatic	JAGUAR XKR	TA1190751	2000 Jaguar XKR; This stunning Jaguar has just been consigned for our April auction.; Having been...		2000 	77		RHD	Auction
N/A	AUSTIN 10	TA1190749	1947 Austin 10 Van GV1 Series; More information to follow; On site now for viewing.; We are open ...		1947 	0		RHD	Auction
N/A	VOLVO 164	TA1190748	1972 Volvo 164; A beauty finished in ever popular aztec gold with tan leather upholstery. The ori...		1972 	0		RHD	Auction
Automatic	LAND ROVER RANGE ROVER Classic	DIY1152257	Brooklands Limited Edition, same owner for 15 years, MoT until May, starts first time and drives ...	Classic	1994 	126,000		RHD	3,000
Manual	MG A Coupe	DIY1188136	Recent full body-off restoration completed over a period of four years, vehicle recently passed a...	Coupe	1957 	621		RHD	15,000
N/A	ROVER P5B	TA1190745	1970 Rover P5B; Best colour, admiralty blue with silver birch roof and excellent tan leather upho...		1970 	0		RHD	Auction
N/A	MG MAGNETTE	TA1190742	1958 MG Magnette; More information to follow.; We are open 7 days a week here at Thornton Le Dale...		1958 	0		RHD	Auction
N/A	TRIUMPH 2000	TA1190741	1971 Triumph 2000; More information to follow.; We are open 7 days a week here at Thornton Le Dal...		1971 	0		RHD	Auction
N/A	ROVER P6	TA1190740	1970 Rover P6 2000 SC; More information to follow.; On site now for viewing.; We are open 7 days ...		1970 	98,000		RHD	Auction
Automatic	JAGUAR XKR 100	TA1190732	2004 Jaguar XKR100 Coupe Auto; The vendor has kindly supplied the following:; On-site now for vie...	100	2004 	106,000		RHD	Auction
N/A	HUMBER HAWK	TA1190722	1965 Humber Hawk; More information to follow; On-site now for viewing; We are open 7 days a week ...		1965 	0		RHD	Auction
N/A	VAUXHALL CAVALIER	TA1190721	1993 Vauxhall Carlton GSi 24V; More information to follow; On-site now for viewing; We are open 7...		1993 	0		RHD	Auction
N/A	JAGUAR XJS	TA1190720	1988 Jaguar XJS Auto; More information to follow; On-site now for viewing; We are open 7 days a w...		1988 	0		RHD	Auction
N/A	MERCEDES-BENZ CLK-CLASS 200	TA1190718	2005 Mercedes CLK 200 Kompressor Avantgarde; The vendor has kindly supplied the following:; With ...	200	2005 	78,000		RHD	Auction
N/A	TOYOTA CELICA	TA1190717	2002 Toyota Celica; The vendor has kindly supplied the following:; An 1800cc 16-valve DOHC EFI - ...		2002 	90,683		RHD	Auction
Manual	ALFA ROMEO 156	DIY1153802	Excellent interior, bodywork may do with tidying as lacquer is peeling in some areas, no rust at ...			22,000		RHD	2,500
Manual	AUSTIN-HEALEY SPRITE Mark 3	DIY1170447	Full restored, beautiful car, with new tires and fuel converter, keeping off the road, MoT on dat...	Mark 3	1964 	7,380		RHD	10,500
Manual	AC COBRA DAX	TA1190982	Cobra by DAX	DAX	1998 	9,465		RHD	39,995
Manual	AC COBRA Replica	TA1190981	Cobra 427 SC By RAM	Replica	1998 	2,057		RHD	29,995
Manual	JAGUAR E-TYPE	DIY1124506	Manual gearbox. Original UK right hand drive with matching numbers. Comes with lots of bills and ...		1969 	90,449		RHD	59,500
Manual	VOLKSWAGEN BEETLE 1600	TA1190980	Excellent VW Beetle 1600	1600	1974 	7,670		LHD	9,950
Manual	JAGUAR XK150 3.4 FHC	TA1190978	Jaguar XK150 3.4 FHC  5-speed	3.4 FHC	1958 	2,321		LHD	78,500
Manual	TRIUMPH TR4A IRS Overdive	TA1190977	Triumph TR4A IRS with Overdrive	IRS  Overdive	1967 	7,670		LHD	36,500
Automatic	BMW E30 320i	DIY1179272	Owned for 14 years, always kept in garage, always starts first go, very clean and well looked aft...	320i	1992 	65,000		RHD	7,500
Automatic	JAGUAR XKR 4.2 supercharged	DIY1187678	Cream unmarked leather, gorgeous British sports car, 20 inch alloys, MoT April 2020, Cat D due to...	4.2 supercharged	2003 	107,000		RHD	7,900
Manual	AUSTIN MINI	DIY1189517	Beautiful, brand new short engine (inc), Swift tune dry deck kit, straight cut gear set, complete...		1983 	27,000		RHD	11,495
Manual	AUSTIN 16 BS1	TA1190974	1946 Austin 16 BS1 Saloon. Black over Burgundy with saddle leather upholstery. Launched in 1945, ...	BS1	1946 	3,400		RHD	5,995
Automatic	BMW 5 SERIES H5 2.8 Hartge	TA1190954	A super-rare 3 owner Hartge H5 E39 with just 56,550 miles.	H5 2.8 Hartge	1999 	56,550		RHD	11,450
Manual	VOLKSWAGEN T2	DIY1190915	Imported from Florida about 10 years ago, I know all previous UK owners, solid chassis, MoT exemp...		1960 	32,000		LHD	22,000
Automatic	ASTON MARTIN DB9 DB9 Volante	TA1187848	2007 Aston Martin DB9 Volante (RHD)	DB9 Volante	2007 	14,800		RHD	39,995
Automatic	LAND ROVER 109 STATION WAGON	DIYCCW1186715	12 seater, 2 1/4 petrol, auto FWH, chassis good, bulhead repaired, galvanised, tow bar, tax and M...	STATION WAGON	1963 	0		RHD	8,000
Manual	LAND ROVER SERIES I	DIY1190845	Fully rebuilt from chassis up in 2018 with no expense spared, I am the second owner from new, ple...		1957 	6,000		RHD	12,500
Manual	MINI 30 Special	DIY1172101	Limited edition, pristine condition, a must see, purchased 6 months ago, had a few minor repairs,...	Special	1989 	27,000		RHD	7,900
Automatic	NISSAN FIGARO	DIY1190681	One of only 1500 of 20,000 cars which came off the production line, original Tokyo Novo plaques, ...		1991 	75,000		RHD	6,911
Manual	MATHIS PM Trefle	DIY1190761	As far as the owners knows there is only one other (unrestored) Type PM in the UK at present, mak...	Trefle	1924 	0		RHD	8,500
Automatic	JAGUAR S-TYPE 3.0 V6 Sport	TA1190767	Far from the usual neglected example, this is a local two owner car with full Jaguar and Jaguar s...	3.0 V6 Sport	2006 	67,669		RHD	4,995
Manual	VOLVO 1800S for restoration	TA1190769	This Volvo P1800 S was built in 1967. This classic Swedish coupe has a 1.780cc B18 4-cylinder eng...	for restoration	1967 	11,167		LHD	7,500
N/A	VAUXHALL CALIBRA	DIYCCW1173620	2nd owner of this fast appreciating car, Rust free bodywork, Lots of history, Ivory Leather, Heat...		1998 	118,000		RHD	2,995
Manual	BMW 3 SERIES 316 E21 1977 Phönix Orange	TA1190766	This BMW 316 from the E21 series was built in 1977 and delivered to the first owner in the Nether...	316 E21 1977 Phönix Orange	1977 	109,729		LHD	9,950
Manual	VOLVO P1800 P1800S	TA1190765	Volvo P1800S Coupe 1964 / RHD UK Car - Cherished & Well Maintained Example @ £25,495	P1800S	1964 	28,070		RHD	25,495
Manual	MORRIS MINI MINOR 850	DIY1190760	Smoke grey, red interior, fully restored around 7 years ago, no expense spared, only done 33 mile...	850	1962 	33		RHD	12,995
Automatic	DAIMLER V8 250	DIYCCW1190764	Owned 9 years, on painted wires plus set of chrome wire wheels, bare metal respray, engine rebuil...	250	1968 	100,981		RHD	15,500
Manual	FORD SIERRA RS COSWORTH RS500	DIY1190753	Low mileage, fully restored Sierra RS500, fully documented Ford Service book, pictures & document...	RS500	1987 	58,000		RHD	75,000
Manual	SINGER JUNIOR	TA1187839	"The Singer Junior is now a very rare car.
This four door saloon was registered new in May 1930 an..."		1930 	93,049		RHD	7,950
Manual	FORD ESCORT Twin Cam	DIY1163160	The car is both race prepared and road legal, is immaculate, disc brakes all round, race battery,...	Twin Cam	1974 	0		RHD	47,500
Manual	ROLLS-ROYCE 20/25 Hooper Sports Saloon	TA1190759	A charming and correct sports saloon, typical of its time, finished in black with brown leather i...	Hooper Sports Saloon	1936 	0		RHD	37,500
Manual	VOLVO 245 GL Station 1980 Overdrive	TA1190757	This Volvo 245 GL station wagon was built in 1980. This classic station wagon has a silver metall...	GL Station 1980 Overdrive	1980 	6,938		LHD	7,950
N/A	ROLLS-ROYCE PHANTOM	TA1190739	"1927 Rolls Royce Phantom 1 Tourer.
Chassis number: 46LC
Registration number: YM7193
A magnificent..."		1927 	7,000		RHD	135,000
Manual	NISSAN 300ZX	TA1190755	This Nissan 300ZX was delivered new in 1987. This 300ZX is the 2-seater targa version. This Japan...		1987 	11,167		LHD	8,900
Manual	BMW M3	TA1167306	The fourth generation BMW M3 was announced at the 2007 Geneva Motor Show when they displayed the ...		2008 	34,174		RHD	23,950
Manual	STANDARD VANGUARD 1947 rare	TA1190744	This Standard Vanguard comes from the year 1947. This old-timer has gray paintwork combined with ...	1947 rare	1947 	6,938		LHD	14,950
Manual	MG TF 1955 MG TF	TA1190296	"1955 MG TF
As the last of the line of the T Series, The MG TF has always had a special appeal to ..."	1955 MG TF	1955 	0		RHD	27,950
Manual	ALVIS 12/50 1931 Alvis 12/50 TJ Atlantic Saloon	TA1188622	"1931 Alvis 12/50 TJ Atlantic Saloon Coachwork by Carbodies
A delightful example of the much-loved..."	1931 Alvis 12/50 TJ Atlantic Saloon	1931 	0		RHD	33,500
Automatic	ROLLS-ROYCE SILVER SERAPH	TA1189851	An impeccably presented Silver Seraph finished in the beautiful Sunset red with a substantial ser...		1999 	43,920		RHD	44,995
Manual	ASTON MARTIN VANTAGE V8	TA1186208	Mercury Silver with Kestrel Tan.  Three owners.  Private Registration included.	V8	2007 	49,750		RHD	26,880
Manual	PORSCHE 911 Carrera Supersport Cabriolet Wide Body	TA1190738	1 of 37. G50 5-spd manual gearbox. Porsche Certificate of Authenticity. Stunning condition.	Carrera Supersport Cabriolet Wide Body	1989 	85,000		RHD	60,000
Automatic	BMW 730 E32	DIY1187252	Stunning car in good condition but with age related marks, engine and gearbox are in fantastic wo...	E32	1987 	131,730		RHD	4,000
Manual	LOTUS EUROPA Twin Cam	DIYCCW1167272	4 speed, excellent chassis, new front callipers & brakes, adjustable AVO suspension, strong engin...	Twin Cam	1972 	50,000		LHD	26,995
Manual	CITROEN 2CV AZAM	TA1189764	With only one registered French owner and 47,288 kms from new, this wonderfully presented Azam is...	AZAM	1966 	29,383		LHD	14,995
Automatic	JAGUAR XJS SC Targa top	DIY1190709	FSH, V12, great condition, XJ number plate included, extensive history folder, alloys A1, black l...	SC Targa top	1985 	77,000		RHD	16,995
Manual	ROYALE SABRE	DIY1190632	Nominal mileage, Tornado red, leather interior, new Granada V6 2.9i engine, new tyres, MoT 2022, ...			91		RHD	19,950
Manual	MG B Roadster	DIY1190628	Tartan Red with original black interior. Working overdrive on 3rd & 4th. Exclusively maintained b...	Roadster		30,500		RHD	10,995
Automatic	JAGUAR S-TYPE	DIY1190625	MoT Mar 21, exceptional condition, drives like new, loads of history & bills, leather interior, f...			68,600		RHD	1,995
Automatic	MG C Roadster	DIY1161013	Condition 2, with new hood, seats, Rostyle wheels and alternator, power Steering, 3:1 servo, stai...	Roadster	1968 	54,000		RHD	25,000
Manual	ROVER MINI City e	DIY1187665	Rebuilt to original specification 3 years ago, driven only 1400 miles since rebuild,  is in very ...	City e	1991 	77,100		RHD	4,995
Automatic	BENTLEY CONTINENTAL R	DIY1190542	Immaculate condition, no rust, always garaged, new Avon tyres, MoT June 20, no faults.		1996 	49,000		RHD	37,500
Automatic	FORD ECONOLINE Pick-up 1967 5-window version	TA1190736	This Ford Econoline Pick-up was built in 1967. This is a first-generation Econoline and a 5-windo...	Pick-up 1967 5-window version	1967 	11,167		LHD	14,950
Manual	ROLLS-ROYCE 20/25 Sedanca De Ville	DIY1171532	Dark green and black, twin side mounted spares, louvered bonnet and scuttle, excellent mechanics,...	Sedanca De Ville	1933 	0		RHD	44,000
Manual	BMW 2002 Turbo	TA1190698	"THE SALE

You can visit the link below to see over 300 images and videos of this special car and ..."	Turbo	1974 	85,749		LHD	59,999
Automatic	FERRARI 456 Maranello GTA	TA1190690	"THE SALE

You can visit the link below to see over 300 images and videos of this special car and ..."	Maranello GTA	1999 	29,000		RHD	44,999
Automatic	MERCEDES-BENZ CL-CLASS CL500	DIY1190402	2000 Mercedes CL500 (C215).  A cherished, well maintained example with FSH and only 45k miles. (T...	CL500	2000 	45,800		RHD	8,550
Manual	TRIUMPH TR5	DIY1190452	Multi concours winner, purchased in 2009, traveled to France, Holland, Belgium & Italy over the p...		1968 	176		RHD	54,900
Manual	AUSTIN-HEALEY BT7 3000 BT7	TA1190682	"THE SALE

You can visit the link below to see over 300 images and videos of this special car and ..."	3000 BT7	1961 	130,000		RHD	46,999
Automatic	BEAUFORD TOURER 2 door	DIY1156909	Fantastic, stunning looking replica, with lots of extras, ideal for weddings or simply your own t...	2 door	1979 	28,000		RHD	14,950
Manual	MG A Roadster	TA1171787	"THE SALE

***UPDATE - Car now sold for £28,500***

You can visit the link below to see over 300 i..."	Roadster	1959 	8,000		LHD	29,950
Manual	TRIUMPH SPITFIRE	DIY1183603	Older restoration, still a tidy car inside/out which would benefit from an enthusiastic owner rea...		1975 	135,000		RHD	4,500
Manual	OPEL REKORD Olympia	DIY1146602	Excellent condition throughout, Portugal import purchased myself, original paperwork, bodywork pr...	Olympia	1959 	38,000		LHD	15,000
Manual	TRIUMPH TR6	DIY1118177	1970 Tr6 with many upgrades. One of the nicest tr6s around			700		RHD	28,000
Manual	TRIUMPH SPITFIRE 1500 1980 British Racing Green	TA1189763	This Triumph Spitfire 1500 was delivered new in 1980 in the beloved color British Racing Green. T...	1500 1980 British Racing Green	1980 	11,167		RHD	9,950
Manual	WOLSELEY 1500	DIYCCW1172596	Excellent car, good runner, interior redone recently serviced, kept in garage, good solid car, ru...		1959 	52,191		RHD	3,200
Automatic	FORD COUNTRY SEDAN	DIY1167378	Excellent condition throughout, air ride, billet wheels, air con, very sought after, rust free, l...		1963 	90,000		LHD	21,500
Manual	VOLKSWAGEN BEETLE 1302s	DIY1176958	Fully restored from ground up, all rust cut away & all new metal replaced, new tyres, a box full ...	1302s		57,000		RHD	9,500
Automatic	NISSAN CIMA	TA1190607	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1996 	91,500		LHD	Auction
Automatic	DAIMLER DOUBLE SIX	DIY1178167	Stunning, subjected to a total bare metal  restoration, full history from 1989, qualifies for MoT...		1974 	69,333		RHD	29,999
Manual	MORRIS COWLEY Flatnose	DIY1125865	Fully rebuilt, excellent running order, corrosion free, powder coated chassis components, oak run...	Flatnose	1931 	0		RHD	12,500
Manual	ZASTAVA 1100	TA1190603	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1977 	125,000		LHD	Auction
Automatic	CHEVROLET BEL AIR	TA1190601	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1964 	73,979		RHD	Auction
Manual	BMW 328 i	TA1190600	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	i	1999 	159,980		LHD	Auction
Manual	TALBOT SAMBA SIMCA HORIZON	TA1190599	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	SIMCA HORIZON	1983 	112,000		LHD	Auction
Manual	ALFA ROMEO 1900	TA1190598	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1956 	9,150		LHD	Auction
Manual	BMW 315	TA1190597	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1983 	110,469		LHD	Auction
Manual	ALFA ROMEO GIULIA	TA1190596	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1963 	26,830		RHD	Auction
Manual	CITROEN CX	TA1190595	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1986 	289,854		LHD	Auction
Manual	BMW 318 i	TA1190594	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	i	1991 	150,000		LHD	Auction
Manual	RENAULT 4 TL	TA1190593	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	TL	1976 	52,182		LHD	Auction
Manual	JEEP WILLYS	TA1190592	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1963 	43,171		LHD	Auction
Manual	CITROEN 2CV LEPATRON LOMAX	TA1190591	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	LEPATRON LOMAX	1985 	20,674		LHD	Auction
Manual	FIAT 124	TA1190589	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1976 	65,055		LHD	Auction
Automatic	MASERATI 4200 GT	TA1190588	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		2002 	67,847		LHD	Auction
Automatic	AUDI A8	TA1190587	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		2003 	290,000		LHD	Auction
Manual	CITROEN 2CV	TA1190585	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1985 	80,000		RHD	Auction
Manual	LANCIA FULVIA	TA1190583	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1975 	25,000		LHD	Auction
Manual	AUSTIN MINI 120B	TA1190582	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	120B	1969 	50,630		LHD	Auction
Manual	LANCHESTER 30 HP 30HP Straight Eight	DIY1168740	Used for holidays and shows, admired everywhere, sports-tourer design is regarded as one of the m...	30HP Straight Eight	1930 	55,000		RHD	140,000
Manual	PORSCHE 911 2.4E OELKLAPPE (SIDE OIL FILLER MODEL)	DIY1187033	Vehicle was restored between 1997-2000, Porsche Certificate of Authenticity, invoices and photogr...	2.4E OELKLAPPE (SIDE OIL FILLER MODEL)	1972 	72,000		RHD	89,995
Manual	LAND ROVER LIGHTWEIGHT	TA1190575	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1976 	44,609		LHD	Auction
Automatic	MERCURY COLONY PARK	TA1190573	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1985 	86,139		LHD	Auction
Manual	BMW 318 i	TA1190572	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	i	1993 	132,000		LHD	Auction
Automatic	MERCEDES-BENZ SL-CLASS	TA1190570	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1965 	46,167		LHD	Auction
Manual	PLYMOUTH DE LUXE	TA1190611	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1950 	96,705		LHD	Auction
Automatic	JAGUAR XJ 12	TA1190569	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	12	1978 	49,502		LHD	Auction
Manual	FIAT X19	TA1190565	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1982 	18,900		LHD	Auction
Manual	LAND ROVER 88	TA1190564	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1981 	71,887		LHD	Auction
Manual	BUICK MODEL 10	TA1190563	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1934 	22,272		RHD	Auction
Manual	TOYOTA LAND CRUISER	TA1190560	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1983 	340,000		LHD	Auction
Manual	PORSCHE 944 S	TA1190558	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	S	1987 	33,112		LHD	Auction
Automatic	JAGUAR XJ	TA1190553	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1975 	1,556		LHD	Auction
Manual	RENAULT 4 R	TA1190552	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	R	1975 	45,851		LHD	Auction
Manual	FIAT 500	TA1190550	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1970 	56,360		LHD	Auction
Manual	VOLKSWAGEN BEETLE 1303	TA1190549	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	1303	1978 	110,000		RHD	Auction
Manual	CITROEN VISA	TA1190548	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1984 	44,500		RHD	Auction
Manual	FIAT 500 L	TA1190547	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	L	1969 	23,863		LHD	Auction
Manual	CITROEN CX	TA1190544	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1986 	256,414		RHD	Auction
Automatic	MERCEDES-BENZ G WAGON	DIY1187064	Ex Germany, recent full Mercedes-Benz inspection and service, leather upholstery, heated seats, b...		2007 	100,000		LHD	31,995
Automatic	PORSCHE 996 Carrera 4S Cabrio Tiptronic	DIY1187070	Beautiful, will be sold with new MoT, I have done absolutely everything mechanical and operationa...	Carrera 4S Cabrio Tiptronic	1999 	90,000		RHD	19,995
Automatic	MERCEDES-BENZ 280	TA1190541	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1967 	25,515		LHD	Auction
Manual	ALFA ROMEO SPIDER	TA1190540	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1975 	102,000		RHD	Auction
Automatic	ROLLS-ROYCE SILVER SHADOW	TA1190539	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1965 	108,512		RHD	Auction
Manual	CITROEN ID 19	TA1190538	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	19	1967 	22,484		LHD	Auction
Manual	CITROEN 2CV	TA1190537	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1961 	27,000		LHD	Auction
Manual	CITROEN CX	TA1190536	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1985 	180,150		RHD	Auction
Automatic	ROLLS-ROYCE SILVER SPUR	TA1190535	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1962 	32,303		RHD	Auction
Manual	CITROEN TRACTION AVANT	TA1190533	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1937 	4,330		LHD	Auction
Automatic	ROLLS-ROYCE CORNICHE	TA1190532	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1979 	85,000		LHD	Auction
Automatic	JAGUAR XJ S	TA1190531	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	S	1989 	34,992		LHD	Auction
Manual	BMW Z4	TA1190529	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		2009 	93,726		LHD	Auction
Automatic	BUICK ELECTRA	TA1190528	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1978 	82,626		LHD	Auction
Manual	DELOREAN DMC-12	TA1190526	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1982 	10,700		LHD	Auction
Automatic	MERCEDES-BENZ SL-CLASS	TA1190525	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1973 	118,600		LHD	Auction
Manual	LANCIA THEMA	TA1190608	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...		1991 	112,253		LHD	Auction
N/A	PONTIAC STREAMLINER SILVERSTREAK	TA1190523	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	SILVERSTREAK	1950 	91,070		LHD	Auction
Manual	BMW 730 i	TA1190522	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	i	1991 	195		LHD	Auction
Manual	BMW 318 i	TA1190520	This classic car is for auction on the online auction platform Catawiki. Please click on 'Dealer ...	i	1992 	108,000		LHD	Auction
Automatic	JAGUAR E-TYPE	DIY1187067	1 owner from new, delivery to USA, original condition, a totally original car, a special car, spe...		1973 	21,000		LHD	159,995
Manual	MERCEDES-BENZ 220 220SEb	DIY1152260	Restored, very good, ready for immediate enjoyment, owned by me since 1999, 2 owners before me, a...	220SEb	1961 	65,000		RHD	13,500
N/A	FORD V8	TA1190482	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. 239 cu. in. flathe...		1950 	0		LHD	Auction
N/A	OLDSMOBILE 98 FUTURMATIC	TA1190481	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. 303 cu. in. Rocket...	FUTURMATIC	1949 	0		LHD	Auction
N/A	BUICK SUPER TWO DOOR HARDTOP	TA1190480	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...	TWO DOOR HARDTOP	1952 	0		LHD	Auction
N/A	PORSCHE 911 GT3	TA1190479	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	GT3	2018 	0		LHD	Auction
N/A	PONTIAC TRANS AM	TA1190475	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. 455 cu. in. High O...		1971 	0		LHD	Auction
N/A	CHEVROLET BEL AIR	TA1190474	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...		1957 	0		LHD	Auction
N/A	CHEVROLET C10	TA1190473	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		1971 	0		LHD	Auction
N/A	VOLKSWAGEN KARMANN	TA1190472	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. 19...		1974 	0		LHD	Auction
Automatic	JAGUAR XJS	TA1190515	Offered for sale is a 5.3L 1988 Jaguar XJS Convertible automatic. Coming with an extensive histor...		1988 	0		RHD	Auction
Manual	RENAULT 5 R TURBO	TA1190514	Offered for sale is a 1.4L 1990 Renault R5 TURBO manual that has been with the current owner for ...	R TURBO	1990 	0		RHD	Auction
Manual	BMW M3 EVOLUTION	TA1190513	Offered for sale is a 3.2L 1997 BMW M3 Evolution Coupe manual that has been with the current owne...	EVOLUTION	1997 	0		RHD	Auction
Manual	BMW 850 CSI	TA1190512	Offered for sale is a 5.6L 1992 BMW 850 CSi manual. Coming with a partial history file, this lot'...	CSI	1992 	0		RHD	Auction
Manual	LOTUS ELAN SPRINT DHC	TA1190511	Offered for sale is a 1.6L 1971 Lotus Elan Sprint DHC manual that has been with the current owner...	SPRINT DHC	1971 	0		RHD	Auction
Manual	FORD SIERRA XR V6	TA1190509	Offered for sale is a 2.933L 1990 Ford Sierra XR4x4 V6 manual. Coming with a partial history file...	XR V6	1990 	0		RHD	Auction
Manual	LAND ROVER SERIES III	TA1190508	Offered for sale is a 2.25L 1983 Land Rover Series III manual that has been with the current owne...		1983 	0		RHD	Auction
Manual	PORSCHE 356B T6 SUPER	TA1190502	Offered for sale is a 1.6L 1962 Porsche 356 B T6 Super Coupe manual. Coming with a partial histor...	T6 SUPER	1962 	0		RHD	Auction
Manual	MORRIS MINI TRAVELLER	TA1190499	Offered for sale is a 0.848L 1966 Morris Mini Mk1 Traveller manual that has been with the current...	TRAVELLER	1966 	0		RHD	Auction
Automatic	ROLLS-ROYCE SILVER SHADOW	TA1190498	Offered for sale is a 6.7L 1974 Rolls-Royce Shadow automatic that has been with the current owner...		1974 	0		RHD	Auction
Manual	PORSCHE CAYMAN S 987	DIY1174600	Immaculate bodywork and fabulous drive, MoT to end July 2020, superb condition, full service hist...	S 987	2007 	62,500		RHD	14,250
Manual	LAND ROVER SERIES II	DIY1186994	2004 recommissioned onto a galvanised chassis, complete restoration, all invoices £30k+ and manua...		1962 	7,500		RHD	17,500
Manual	VOLKSWAGEN GOLF GTI MK1	TA1190494	Offered for sale is a 1.8L 1982 Volkswagen Golf GTi Mk1 manual. Coming with a partial history fil...	GTI MK1	1982 	0		RHD	Auction
Manual	MORRIS MINI MK1 850 DE LUXE	TA1190492	Offered for sale is a 0.848L 1960 Morris Mini Mk1 850 De-Luxe manual that has been with the curre...	MK1 850 DE LUXE	1960 	0		RHD	Auction
